Result Log 
Problem Instance Path = ../problem1.txt 
Random Seed = 1506111244.9985979 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob1_solution.txt'}

Run 1
2	2
3	4
4	7
7	14
21	21
729	23

Run 2
2	2
4	4
6	6
8	21
32	24

Run 3
2	1
4	3
5	10
17	11
31	22

Run 4
3	8
8	11
15	20
129	21
353	31

Run 5
3	2
4	4
6	6
9	10
10	12
54	14
242	17
689	18
835	19

Run 6
2	4
3	6
8	8
44	9
45	14
79	20
504	21
626	22

Run 7
2	4
5	10
26	18
406	19
850	20

Run 8
2	11
18	12
27	14
28	15
29	17
418	24

Run 9
2	8
11	16
17	18

Run 10
2	3
3	12
42	15
80	17
90	20
278	21
313	23

Run 11
2	4
3	6
15	9
17	14
80	20
290	21
938	30

Run 12
2	3
3	4
4	8
29	9
30	11
57	12
99	14
162	22
516	23
661	24

Run 13
2	2
3	4
4	10
17	11
44	13
111	14
190	15
227	16
299	17
584	21

Run 14
2	5
4	6
10	7
16	14
35	17
277	27

Run 15
2	13
69	15
75	18
703	22

Run 16
2	1
3	7
7	8
20	14
121	16
161	17
928	18

Run 17
2	7
8	10
10	23

Run 18
2	5
5	7
6	11
60	14
72	15
152	18
156	21
548	23

Run 19
3	2
4	8
31	10
73	11
115	15
162	16
305	19
776	26

Run 20
2	2
5	4
7	10
10	13
12	15
229	16
273	17
406	21
840	24

Run 21
2	8
23	12
51	13
85	18
98	20

Run 22
2	1
3	7
13	9
14	12
52	14
118	15
198	20

Run 23
2	8
4	11
11	14
33	15
74	20
329	23
957	24

Run 24
2	6
3	11
48	13
56	15
123	16
141	17
191	19
416	22

Run 25
2	3
4	4
6	5
11	6
26	10
28	11
31	14
33	16
94	17
354	19
410	23
800	25

Run 26
2	12
30	13
38	18
427	21

Run 27
2	1
3	4
6	9
8	13
23	15
212	22

Run 28
3	3
4	6
15	7
23	8
27	13
121	17
143	21
334	29
497	31

Run 29
2	1
3	4
4	5
5	6
9	12
20	19
130	24

Run 30
2	9
11	17
68	18
264	19
424	24

