Result Log 
Problem Instance Path = ../problem2.txt 
Random Seed = 1506111321.575773 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob2_solution.txt'}

Run 1
2	2
7	5
8	9
26	11
31	12
89	13
157	25
901	26

Run 2
2	6
3	12
54	13
66	17
148	19
316	24

Run 3
2	4
3	16
47	17
74	19
128	24
185	32

Run 4
2	17
8	18
229	24

Run 5
2	16
27	17
48	19
176	23

Run 6
2	12
47	18
95	23
479	24
819	25

Run 7
2	3
5	7
11	15
73	18
251	23

Run 8
2	2
3	8
5	10
14	16
68	20
496	21
779	23
832	29

Run 9
2	7
12	10
14	13
44	14
105	24

Run 10
2	8
3	17
5	18
378	21
430	25

Run 11
2	3
5	6
7	8
11	12
14	13
21	15
137	19
173	27
610	29

Run 12
3	1
4	3
5	9
18	10
27	13
35	14
62	18
401	19
475	20
512	24

Run 13
2	4
14	7
17	9
31	14
37	15
44	16
67	18
154	20
174	25
463	26

Run 14
2	2
3	7
4	12
6	15
10	16
62	17
71	20
445	21
535	22
760	25

Run 15
2	1
3	2
5	4
8	8
14	14
25	18
191	20
306	27

Run 16
2	10
9	11
24	12
29	24
199	30
872	32

Run 17
2	2
4	4
7	5
10	9
13	11
25	12
53	16
172	18
508	24

Run 18
2	5
4	7
7	8
8	17
27	19
366	21

Run 19
2	10
4	11
11	15
79	19
123	20
393	21
462	25

Run 20
2	10
10	15
75	21
191	24

Run 21
2	4
3	5
5	8
6	11
19	17
37	18
71	23
172	30

Run 22
2	7
17	8
22	12
36	14
68	19
122	21

Run 23
2	3
3	5
5	9
8	12
20	14
61	25

Run 24
2	1
3	3
4	6
5	17
47	18
199	24

Run 25
2	5
4	8
12	9
28	23

Run 26
2	5
5	7
8	8
11	17
43	20
236	21

Run 27
2	2
3	5
4	13
23	15
101	19
554	20

Run 28
2	5
6	8
11	10
27	16
42	23
760	28

Run 29
2	2
3	8
8	9
20	13
67	14
72	22
584	24
693	34

Run 30
2	10
3	11
14	13
27	14
90	15
93	17
98	21
361	23
573	26
727	28

