Result Log 
Problem Instance Path = ../problem2.txt 
Random Seed = 1506211891.608119 
Parameters used = {'fitness evaluations': 1000, 'number of runs': 30, 'problem solution location': 'solutions/prob2_random_solution.txt'}

Run 1
2	4
11	9
12	10
14	12
38	17
56	22
115	23
349	25

Run 2
2	5
5	9
8	12
19	14
27	15
97	17
129	24

Run 3
2	4
3	15
5	22
171	27

Run 4
2	2
3	3
5	6
9	11
17	16
61	18
219	22

Run 5
2	2
3	3
4	4
5	7
12	19
31	20
553	23
974	24

Run 6
2	7
11	13
42	14
77	16
328	18
362	19
370	24
799	27

Run 7
2	3
3	7
4	12
18	14
44	21
351	24
710	34

Run 8
2	10
6	11
15	12
28	18
79	22
356	24
581	25
887	33

Run 9
2	5
5	13
13	15
102	16
103	17
119	18
392	20
423	29

Run 10
2	7
5	17
254	19
300	21
457	22
537	23

Run 11
2	2
3	3
4	9
9	21

Run 12
2	7
8	10
12	11
29	22
851	23

Run 13
2	4
5	20
223	21
485	24

Run 14
2	6
5	7
8	9
14	11
41	14
109	18
187	20
203	24

Run 15
2	8
15	13
70	14
78	16
132	21

Run 16
2	1
3	9
13	22
211	30

Run 17
2	3
3	5
4	17
33	22
188	27
562	32

Run 18
2	3
3	7
7	16
14	23
46	26

Run 19
2	1
5	3
6	22
573	23

Run 20
2	15
59	20
109	21
517	29

Run 21
2	4
5	5
11	7
16	11
44	13
67	15
73	16
258	17
295	19
436	27
572	30

Run 22
2	2
3	4
4	8
5	13
47	17
58	19
669	22

Run 23
3	8
5	9
6	10
9	12
15	15
109	21

Run 24
2	4
3	20
437	31

Run 25
2	5
5	6
7	9
37	17
132	18
176	24

Run 26
2	4
3	12
30	16
62	18
269	24
320	26

Run 27
2	11
36	13
75	14
87	16
93	18
144	22

Run 28
2	5
3	10
9	14
20	17
64	20
716	21

Run 29
2	16
121	18
148	23

Run 30
2	8
4	9
9	13
27	14
59	16
91	19
102	21
622	26

