Solution File 

115, 16, 3
116, 5, 3
150, 3, 3
65, 5, 3
44, 6, 3
49, 14, 2
125, 9, 2
26, 14, 2
47, 5, 2
65, 15, 3
38, 17, 1
143, 19, 2
96, 9, 0
60, 3, 3
78, 7, 1
28, 19, 1
30, 9, 2
129, 15, 0
77, 10, 1
82, 5, 2
143, 16, 2
53, 1, 0
34, 11, 2
49, 11, 2
110, 6, 3
41, 7, 0
38, 4, 3
59, 8, 3
138, 1, 1
55, 18, 1
54, 7, 1
52, 13, 2
115, 1, 0
45, 4, 0
136, 11, 3
43, 15, 1
44, 14, 0
130, 17, 1
56, 2, 3
33, 16, 3
102, 19, 3
106, 12, 3
135, 10, 3
77, 15, 3
87, 10, 1
147, 10, 1
147, 14, 2
101, 18, 2
79, 6, 1
87, 1, 0
