Solution File 

94, 14, 3
554, 21, 0
406, 19, 3
632, 19, 2
456, 9, 1
155, 13, 1
554, 1, 3
339, 18, 2
423, 3, 3
138, 3, 3
559, 10, 2
661, 18, 2
392, 21, 1
157, 6, 3
178, 8, 2
178, 21, 2
496, 20, 2
49, 12, 0
41, 11, 3
194, 8, 0
117, 23, 1
91, 28, 3
313, 9, 1
257, 21, 0
326, 16, 2
67, 27, 1
278, 27, 3
561, 11, 1
583, 25, 2
357, 6, 1
40, 15, 1
685, 23, 3
300, 8, 0
334, 13, 1
630, 15, 1
515, 6, 3
224, 14, 1
272, 9, 3
393, 13, 3
125, 13, 1
480, 4, 3
175, 13, 1
620, 11, 3
252, 25, 3
148, 21, 2
74, 12, 3
115, 6, 2
523, 18, 0
600, 13, 2
201, 7, 3
508, 18, 2
505, 18, 3
133, 18, 2
103, 22, 0
631, 2, 1
325, 21, 0
299, 18, 0
371, 4, 3
445, 15, 0
630, 17, 3
278, 4, 2
469, 5, 3
145, 1, 3
523, 28, 1
377, 26, 0
373, 14, 2
440, 6, 3
316, 10, 3
458, 11, 1
191, 8, 0
642, 0, 2
420, 13, 3
694, 0, 1
342, 16, 2
206, 22, 3
418, 24, 1
660, 28, 1
253, 6, 0
409, 4, 3
403, 9, 3
671, 4, 0
648, 27, 3
293, 10, 2
465, 16, 1
218, 6, 0
494, 13, 3
440, 18, 3
111, 17, 2
575, 15, 1
262, 17, 1
385, 29, 3
432, 2, 2
394, 22, 1
614, 17, 1
131, 23, 1
109, 6, 0
685, 13, 2
305, 10, 2
593, 17, 1
573, 13, 0
, 3
